resi_id,layanan,id_gudang,berat_paket,estimasi_hari,hari_pengiriman,metode_pembayaran
NST-2603-00001,Reguler,WH-BDO02,1.35,5,4,Transfer Bank
NST-2603-00002,Sameday,WH-BDO02,1.11,1,2,Transfer Bank
NST-2603-00003,Express,WH-JKT01,0.96,1,3,
NST-2603-00004,Reguler,WH-SUB03,2.22,5,8,Kartu Kredit
NST-2603-00005,Reguler,WH-KNO04,1.42,4,3,Transfer Bank
NST-2603-00006,Reguler,WH-KNO04,8.07,3,3,Kartu Kredit
NST-2603-00007,Reguler,WH-SUB03,3.78,3,6,Kartu Kredit
NST-2603-00008,Kargo,WH-JKT01,63.6,7,12,Kartu Kredit
NST-2603-00009,Express,WH-KNO04,3.15,1,2,
NST-2603-00010,Express,WH-UPG05,3.64,1,1,E-Wallet
NST-2603-00011,Reguler,WH-KNO04,3.18,4,5,Kartu Kredit
NST-2603-00012,Sameday,WH-JKT01,0.76,1,2,Transfer Bank
NST-2603-00013,Express,WH-BDO02,2.12,2,2,Kartu Kredit
NST-2603-00014,Reguler,WH-BDO02,4.7,4,7,Kartu Kredit
NST-2603-00015,Reguler,WH-BDO02,8.51,3,5,Transfer Bank
NST-2603-00016,Reguler,WH-JKT01,,4,3,Transfer Bank
NST-2603-00017,Reguler,WH-BDO02,13.4,5,8,Kartu Kredit
NST-2603-00018,Reguler,WH-BDO02,3.69,4,7,E-Wallet
NST-2603-00019,Reguler,WH-JKT01,10.26,3,2,Transfer Bank
NST-2603-00020,Reguler,WH-UPG05,12.97,4,3,Transfer Bank
NST-2603-00021,Express,WH-KNO04,1.75,1,2,COD
NST-2603-00022,Reguler,WH-JKT01,3.28,5,6,Kartu Kredit
NST-2603-00023,Reguler,WH-JKT01,10.38,4,4,COD
NST-2603-00024,Reguler,WH-SUB03,9.53,5,4,COD
NST-2603-00025,Reguler,WH-BDO02,11.21,3,6,E-Wallet
NST-2603-00026,Express,WH-UPG05,2.21,1,2,Kartu Kredit
NST-2603-00027,Reguler,WH-SUB03,4.07,5,8,Kartu Kredit
NST-2603-00028,Reguler,WH-UPG05,4.21,4,3,COD
NST-2603-00029,Reguler,WH-BDO02,6.62,3,4,Transfer Bank
NST-2603-00030,Reguler,WH-BDO02,13.78,3,3,Transfer Bank
NST-2603-00031,Express,WH-BDO02,3.45,2,2,Kartu Kredit
